title,platform,type,date_added,release_year,genres,minutes,seasons
Dick Johnson Is Dead,Netflix,Movie,2021-09-25,2020.0,['Documentaries'],90,
Blood & Water,Netflix,TV Show,2021-09-24,2021.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",,2
Ganglands,Netflix,TV Show,2021-09-24,2021.0,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",,
Jailbirds New Orleans,Netflix,TV Show,2021-09-24,2021.0,"['Docuseries', 'Reality TV']",,
Kota Factory,Netflix,TV Show,2021-09-24,2021.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,2
Midnight Mass,Netflix,TV Show,2021-09-24,2021.0,"['TV Dramas', 'TV Horror', 'TV Mysteries']",,
My Little Pony: A New Generation,Netflix,Movie,2021-09-24,2021.0,['Children & Family Movies'],91,
Sankofa,Netflix,Movie,2021-09-24,1993.0,"['Dramas', 'Independent Movies', 'International Movies']",125,
The Great British Baking Show,Netflix,TV Show,2021-09-24,2021.0,"['British TV Shows', 'Reality TV']",,9
The Starling,Netflix,Movie,2021-09-24,2021.0,"['Comedies', 'Dramas']",104,
"Vendetta: Truth, Lies and The Mafia",Netflix,TV Show,2021-09-24,2021.0,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",,
Bangkok Breaking,Netflix,TV Show,2021-09-23,2021.0,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",,
Je Suis Karl,Netflix,Movie,2021-09-23,2021.0,"['Dramas', 'International Movies']",127,
Confessions of an Invisible Girl,Netflix,Movie,2021-09-22,2021.0,"['Children & Family Movies', 'Comedies']",91,
Crime Stories: India Detectives,Netflix,TV Show,2021-09-22,2021.0,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",,
Dear White People,Netflix,TV Show,2021-09-22,2021.0,"['TV Comedies', 'TV Dramas']",,4
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Netflix,Movie,2021-09-22,2020.0,"['Documentaries', 'International Movies']",67,
Falsa identidad,Netflix,TV Show,2021-09-22,2020.0,"['Crime TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",,2
Intrusion,both,Movie,2021-09-22,2021.0,['Thrillers'],94,
Jaguar,Netflix,TV Show,2021-09-22,2021.0,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']",,
Monsters Inside: The 24 Faces of Billy Milligan,Netflix,TV Show,2021-09-22,2021.0,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",,
Resurrection: Ertugrul,Netflix,TV Show,2021-09-22,2018.0,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",,5
Avvai Shanmughi,Netflix,Movie,2021-09-21,1996.0,"['Comedies', 'International Movies']",161,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Netflix,Movie,2021-09-21,2021.0,['Children & Family Movies'],61,
Jeans,Netflix,Movie,2021-09-21,1998.0,"['Comedies', 'International Movies', 'Romantic Movies']",166,
Love on the Spectrum,Netflix,TV Show,2021-09-21,2021.0,"['Docuseries', 'International TV Shows', 'Reality TV']",,2
Minsara Kanavu,Netflix,Movie,2021-09-21,1997.0,"['Comedies', 'International Movies', 'Music & Musicals']",147,
Grown Ups,Netflix,Movie,2021-09-20,2010.0,['Comedies'],103,
Dark Skies,Netflix,Movie,2021-09-19,2013.0,"['Horror Movies', 'Sci-Fi & Fantasy']",97,
Paranoia,both,Movie,2021-09-19,2013.0,['Thrillers'],106,
Ankahi Kahaniya,Netflix,Movie,2021-09-17,2021.0,"['Dramas', 'Independent Movies', 'International Movies']",111,
Chicago Party Aunt,Netflix,TV Show,2021-09-17,2021.0,['TV Comedies'],,
Sex Education,Netflix,TV Show,2021-09-17,2020.0,"['British TV Shows', 'International TV Shows', 'TV Comedies']",,3
Squid Game,Netflix,TV Show,2021-09-17,2021.0,"['International TV Shows', 'TV Dramas', 'TV Thrillers']",,
Tayo and Little Wizards,Netflix,TV Show,2021-09-17,2020.0,"[""Kids' TV""]",,
The Father Who Moves Mountains,Netflix,Movie,2021-09-17,2021.0,"['Dramas', 'International Movies', 'Thrillers']",110,
The Stronghold,Netflix,Movie,2021-09-17,2021.0,"['Action & Adventure', 'Dramas', 'International Movies']",105,
Angry Birds,Netflix,TV Show,2021-09-16,2018.0,"[""Kids' TV"", 'TV Comedies']",,
Birth of the Dragon,Netflix,Movie,2021-09-16,2017.0,"['Action & Adventure', 'Dramas']",96,
Chhota Bheem,Netflix,TV Show,2021-09-16,2021.0,"[""Kids' TV""]",,3
He-Man and the Masters of the Universe,Netflix,TV Show,2021-09-16,2021.0,"[""Kids' TV"", 'TV Sci-Fi & Fantasy']",,
Jaws,Netflix,Movie,2021-09-16,1975.0,"['Action & Adventure', 'Classic Movies', 'Dramas']",124,
Jaws 2,Netflix,Movie,2021-09-16,1978.0,"['Dramas', 'Horror Movies', 'Thrillers']",116,
Jaws 3,Netflix,Movie,2021-09-16,1983.0,"['Action & Adventure', 'Horror Movies', 'Thrillers']",98,
Jaws: The Revenge,Netflix,Movie,2021-09-16,1987.0,"['Action & Adventure', 'Horror Movies', 'Thrillers']",91,
